DAUID,low_income,minority,total_pop,total_pop_census,seniors,lone_parent,recent_immigrant,youth_15_24,visible_minority,low_income_lim
48111137,80.0,230.0,608.0,608.0,14.0,35.0,130.0,45.0,230.0,130.0
48111138,80.0,140.0,600.0,600.0,14.2,35.0,75.0,0.0,140.0,105.0
48111139,50.0,195.0,450.0,450.0,11.2,30.0,85.0,10.0,195.0,80.0
48111140,90.0,320.0,623.0,623.0,15.3,40.0,185.0,70.0,320.0,85.0
48111141,50.0,155.0,506.0,506.0,10.9,35.0,100.0,20.0,155.0,20.0
48111142,100.0,265.0,572.0,572.0,17.5,30.0,185.0,55.0,265.0,65.0
48111143,30.0,335.0,535.0,535.0,4.7,55.0,130.0,40.0,335.0,130.0
48111144,425.0,180.0,1020.0,1020.0,55.9,30.0,90.0,65.0,180.0,195.0
48111145,140.0,255.0,654.0,654.0,22.1,35.0,90.0,35.0,255.0,35.0
48111147,110.0,175.0,561.0,561.0,19.6,30.0,70.0,20.0,175.0,35.0
48111148,70.0,165.0,417.0,417.0,17.9,15.0,20.0,40.0,165.0,20.0
48111149,210.0,260.0,828.0,828.0,25.3,40.0,140.0,35.0,260.0,135.0
48111150,60.0,230.0,548.0,548.0,10.9,55.0,70.0,30.0,230.0,150.0
48111152,45.0,240.0,708.0,708.0,6.4,85.0,110.0,25.0,240.0,190.0
48111153,15.0,215.0,466.0,466.0,4.3,45.0,130.0,25.0,215.0,75.0
48111154,85.0,245.0,629.0,629.0,14.3,30.0,70.0,70.0,245.0,35.0
48111155,0.0,65.0,230.0,230.0,21.7,5.0,0.0,30.0,65.0,0.0
48111156,80.0,155.0,468.0,468.0,23.7,25.0,60.0,10.0,155.0,30.0
48111157,70.0,460.0,927.0,927.0,7.0,100.0,205.0,40.0,460.0,170.0
48111158,65.0,85.0,398.0,398.0,15.0,20.0,35.0,0.0,85.0,25.0
48111159,60.0,70.0,327.0,327.0,18.5,10.0,15.0,0.0,70.0,35.0
48111160,110.0,135.0,514.0,514.0,20.6,30.0,35.0,45.0,135.0,45.0
48111161,0.0,0.0,141.0,141.0,3.6,0.0,0.0,0.0,0.0,0.0
48111162,95.0,190.0,466.0,466.0,20.4,20.0,0.0,10.0,190.0,15.0
48111163,90.0,130.0,488.0,488.0,18.4,20.0,65.0,15.0,130.0,30.0
48111164,0.0,70.0,204.0,204.0,19.5,5.0,0.0,0.0,70.0,0.0
48111165,70.0,340.0,633.0,633.0,11.8,40.0,125.0,30.0,340.0,50.0
48111167,50.0,200.0,455.0,455.0,11.0,35.0,120.0,50.0,200.0,60.0
48111168,90.0,170.0,475.0,475.0,20.0,25.0,40.0,35.0,170.0,25.0
48111169,15.0,210.0,461.0,461.0,4.3,40.0,120.0,40.0,210.0,75.0
48111171,25.0,190.0,358.0,358.0,8.5,35.0,115.0,15.0,190.0,70.0
48111172,115.0,365.0,683.0,683.0,16.8,45.0,180.0,40.0,365.0,80.0
48111173,15.0,385.0,551.0,551.0,2.7,45.0,230.0,85.0,385.0,110.0
48111174,35.0,190.0,398.0,398.0,8.8,30.0,135.0,10.0,190.0,55.0
48111176,100.0,295.0,709.0,709.0,13.5,50.0,145.0,50.0,295.0,65.0
